cluster,n_docs,top_terms,dominant_category,category_purity,doc_titles
0,5,"production, supply, 177, 225, 225 supply, options, lu, lutetium",Medical Isotopes,1.0,"Lutetium-177, The Increasing Production Of A Promising Radioisotope; Multiple Production Methods Underway to Provide Actinium-225; Challenges and future options for the production of lutetium-177; Radiopharma Sector Races To Secure Actinium-225 Supply as Pipelines Expand; Securing medical radioisotopes supply: NEA hosts second international workshop"
1,4,"predictive maintenance, predictive, maintenance, explainable, learning, ai, plants, water systems",AI/ML Predictive Maintenance,1.0,Explainable machine-learning tools for predictive maintenance of circulating water systems in nuclear power plants; Explainable machine-learning tools for predictive maintenance of circulating water systems in nuclear power plants; Nuclear Predictive Maintenance: AI & Machine Learning for Reactor Equipment; The use of Artificial Intelligence in the nuclear sector
2,4,"steam, generator, steam generator, tubes, planning, robot, transfer, heat",Robotic Inspection,1.0,"A novel inspection robot for nuclear station steam generator secondary side with self-localization; The SG-Climbot: An Adaptable, Efficient, Inspection and Repair Robot for Steam Generator Heat Transfer Tube Sheet; An Inspection Planning Method for Steam Generators with Triangular-Distributed Tubes; High-efficiency inspecting method for mobile robots based on task planning for heat transfer tubes in a steam generator"
3,5,"digital, twin, digital twin, nuclear, power, twins, digital twins, plants",Digital Twins,1.0,A nuclear power plant digital twin for developing robot navigation and interaction; iFANnpp: Nuclear Power Plant Digital Twin for Robots and Autonomous Intelligence; Digital Twins for Nuclear Power Plants and Facilities; Digital Twin-Centered Hybrid Data-Driven Multi-Stage Deep Learning Framework for Enhanced Nuclear Reactor Power Prediction; Digital Twins | Nuclear Regulatory Commission
4,4,"deep, repository, geological, concepts, deep geological, repositories, global, waste",Waste Management,1.0,"Deep Geologic Repositories; Deep geologic repository progress — 2025 Update; Deep geological repositories — A review of design concepts, near-field evolution, and their implications for nuclear waste containment; Next-generation nuclear waste management: Geological repositories, emerging technologies, and global pathways"
5,4,"smr, nea, deployment, modular, small, small modular, dashboard, report",SMR,1.0,"There are now 127 different SMR designs, finds NEA report; The NEA Small Modular Reactor Dashboard: Third Edition; Deployment of small modular reactors: A strategic roadmap validated by expert consensus; Small Modular Reactors: A Realist Approach to the Future of Nuclear Power"
6,4,"manufacturing, qualification, components, advanced, additive manufacturing, additive, nuclear, materials",Additive Manufacturing,1.0,Qualification pathways for additively manufactured components for nuclear applications; NUCOBAM European project: NUclear COmponents based on additive manufacturing; Embracing the Promise of Additive Manufacturing for Advanced Nuclear Reactors; Advanced Manufacturing and Materials Qualification for Nuclear Reactors
7,4,"fusion, energy, commercial, commercial fusion, fusion energy, considerations, private, fusion power",Fusion,1.0,Fusion Energy: No Longer '30 Years Away'?; Energy Department Announces Fusion Science and Technology Roadmap to Accelerate Commercial Fusion Power; Toward Commercial Fusion Energy: Considerations for Congress; Fusion energy commercialization requires solving social and environmental challenges
